Price,Covered Area,Project Name,sqft Price,Carpet Area,Area Name,Society,furnished Type,Bathroom,Facing,Transaction Type,Type of Property,bedroom,isPrimeLocationProperty,Property,balconies,floor_ratio,Parking_Status,amenity_score,luxury_score
0.36,645.0,Raunak Urban Centre,5581.0,467.0,Kalyan West,1,Semi-Furnished,2.0,North - East,New Property,Apartment,1,1,1,2.0,0.7,Available,2,2
0.36,650.0,Vaibhavi City,5508.0,460.0,Kalyan West,0,Unfurnished,1.0,East,Resale,Apartment,1,1,1,2.0,0.7142857142857143,Unknown,2,2
1.48,2160.0,Unknown Project,6850.0,1385.0,Kalyan West,1,Unfurnished,3.0,East,New Property,Apartment,3,1,3,4.0,0.19444444444444445,Available,5,6
0.43,854.0,Unknown Project,5035.0,505.0,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,2,1,2,2.0,0.21428571428571427,Available,2,2
0.42,384.0,Unknown Project,10899.0,384.0,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,1,1,1,2.0,0.43478260869565216,Available,2,2
0.24,675.0,Unknown Project,3556.0,490.0568181818182,Kalyan West,1,Unfurnished,2.0,Unknown,Resale,Apartment,2,1,2,1.0,1.0,Unknown,1,2
0.2,605.0,Unknown Project,3306.0,439.2361111111111,Kalyan West,1,Unfurnished,1.0,East,Resale,Apartment,1,1,1,3.0,1.0,Unknown,2,2
0.25,620.0,Unknown Project,4032.0,508.57488967725186,Kalyan West,1,Furnished,2.0,Unknown,Resale,Residential House,2,1,2,1.0,0.3076923076923077,Unknown,1,2
0.4,785.0,Sai Nirvana,5096.0,569.9179292929293,Kalyan West,0,Unfurnished,2.0,Unknown,Resale,Apartment,1,1,1,1.0,0.25,Unknown,1,2
0.5,711.0,Ajmera New Era,7032.0,516.1931818181819,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,1,1,1,1.0,0.5714285714285714,Unknown,1,2
0.95,675.0,Godrej Nirvaan,14074.0,490.0568181818182,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,2,0,2,2.0,0.42857142857142855,Unknown,1,0
0.6,870.0,Madhav Shristi,6897.0,600.0,Kalyan West,0,Semi-Furnished,2.0,South - East,Resale,Apartment,2,0,2,2.0,1.0,Unknown,1,0
0.4,580.0,Raunak City 2,6897.0,421.0858585858586,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,1,0,1,2.0,0.26666666666666666,Unknown,1,0
0.34,780.0,Vrundavan,4359.0,566.2878787878788,Kalyan West,0,Unfurnished,2.0,Unknown,Resale,Apartment,2,0,2,2.0,0.4,Unknown,1,0
0.43,615.0,Unknown Project,6992.0,446.4962121212121,Kalyan West,0,Unfurnished,1.0,East,Resale,Apartment,1,0,1,1.0,0.8571428571428571,Unknown,0,0
0.7,1200.0,Osho Dhara Residency,5833.0,871.2121212121212,Kalyan West,0,Furnished,2.0,Unknown,Resale,Apartment,2,0,2,2.0,0.9230769230769231,Unknown,2,0
0.35,445.0,Om Heights,7865.0,323.074494949495,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,1,0,1,1.0,0.3333333333333333,Unknown,0,0
0.3,650.0,Mahavir Heights,4615.0,471.90656565656565,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,1,0,1,2.0,0.5714285714285714,Available,1,0
0.41,671.0,Saisatyam Residency,6110.0,487.15277777777777,Kalyan West,0,Furnished,1.0,Unknown,Resale,Apartment,1,0,1,2.0,0.14285714285714285,Unknown,1,0
0.9,1085.0,Sai Nirvana,8295.0,787.7209595959596,Kalyan West,0,Unfurnished,2.0,Unknown,Resale,Apartment,2,0,2,2.0,0.625,Unknown,2,0
0.82,689.0,Godrej Nirvaan,11901.0,633.0,Kalyan West,0,Unfurnished,2.0,Unknown,Resale,Apartment,1,0,1,1.0,0.44,Unknown,0,0
0.45,545.0,Amrut Pearl,8257.0,395.675505050505,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,1,0,1,1.0,0.625,Unknown,0,0
0.56,805.0,Vrindavan Garden,6957.0,660.3270745003028,Kalyan West,0,Furnished,2.0,Unknown,Resale,Residential House,2,0,2,2.0,0.5714285714285714,Unknown,1,0
0.28,603.0,Haware Pinnacle,4644.0,392.0,Kalyan West,1,Unfurnished,1.0,Unknown,New Property,Apartment,1,0,1,2.0,0.5,Unknown,1,0
0.35,615.0,Raunak City Sector 4,5691.0,446.4962121212121,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,0,1,3.0,0.9545454545454546,Unknown,1,0
0.7,970.0,Guru Atman,7216.0,704.229797979798,Kalyan West,0,Furnished,2.0,Unknown,Resale,Apartment,2,0,2,2.0,0.5789473684210527,Unknown,1,0
0.39,660.0,Charms Heritage,5909.0,479.1666666666667,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,1,0,1,1.0,0.7272727272727273,Unknown,0,0
0.45,765.0,Amrut Pearl,5882.0,555.3977272727273,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,1,0,1,1.0,0.5,Unknown,0,0
0.55,571.0,Kalyan Nagari,9632.0,414.55176767676767,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,1,0,1,3.0,0.875,Unknown,1,0
0.6,750.0,Lotus Tower,8000.0,544.5075757575758,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,2,1,2,2.0,0.875,Unknown,2,2
0.35,501.0,Kalyan Nagari,6986.0,363.0,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,1,1,1,3.0,1.0,Unknown,2,2
0.7,963.0,Unknown Project,7269.0,699.1477272727273,Kalyan West,0,Furnished,2.0,Unknown,Resale,Apartment,3,1,3,1.0,1.0,Unknown,2,2
0.78,1044.0,Om Heights,7471.0,757.9545454545455,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,3,1,3,3.0,0.3333333333333333,Unknown,4,2
0.35,608.0,Haware Pinnacle,5757.0,441.4141414141414,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,1,1,1.0,0.6,Unknown,1,2
0.37,750.0,Vrindavan Shrushti,4933.0,493.0,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,1,1,1,1.0,0.5,Unknown,1,2
0.32,603.0,Haware Pinnacle,5307.0,437.78409090909093,Kalyan West,1,Unfurnished,1.0,Unknown,New Property,Apartment,1,1,1,2.0,0.25,Unknown,2,2
0.45,579.88,Tycoons Square,7760.226253707664,421.0,Kalyan West,0,Unfurnished,2.0,Unknown,New Property,Apartment,1,1,1,1.0,0.5128205128205128,Available,1,2
0.43,640.0,Raunak City Sector 4,6719.0,464.64646464646466,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,1,1,1,3.0,0.045454545454545456,Unknown,2,2
0.35,585.0,Lifestyle City,5900.0,455.0,Kalyan West,1,Semi-Furnished,2.0,Unknown,New Property,Apartment,1,1,1,1.0,0.06666666666666667,Available,1,2
0.4,624.0,Raunak City 3,6490.0,453.03030303030306,Kalyan West,0,Semi-Furnished,1.0,East,Resale,Apartment,1,1,1,2.0,0.7142857142857143,Unknown,2,2
0.74,980.0,Yogi Dham Phase III,7551.0,685.0,Kalyan West,0,Semi-Furnished,2.0,West,Resale,Apartment,2,0,2,1.0,0.8947368421052632,Unknown,0,0
0.48,1080.0,Unknown Project,4444.0,709.0,Kalyan West,0,Unfurnished,2.0,East,Resale,Apartment,2,0,2,1.0,0.037037037037037035,Unknown,1,0
0.47,634.98,Godrej Nirvaan,7401.8079309584555,461.0,Kalyan West,1,Unfurnished,1.0,East,New Property,Apartment,1,1,1,1.0,0.5769230769230769,Available,1,2
0.8,1332.0,Tata Amantra,6006.0,853.0,Kalyan West,1,Unfurnished,3.0,North - East,New Property,Apartment,3,1,3,1.0,0.10344827586206896,Available,4,2
0.47,835.0,Unknown Project,5629.0,606.2184343434343,Kalyan West,0,Unfurnished,2.0,West,Resale,Apartment,2,0,2,3.0,0.6666666666666666,Available,1,0
0.32,645.0,Virat Residency,4961.0,468.2765151515151,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,0,1,1.0,0.875,Unknown,0,0
0.17,325.0,Unknown Project,5231.0,235.95328282828282,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,0,1,1.0,0.25,Unknown,0,0
2.52,2900.0,Devdarshan Apartment,8690.0,2115.0,Kalyan West,0,Furnished,3.0,East,Resale,Apartment,5,0,5,5.0,0.7142857142857143,Unknown,5,6
0.95,900.0,Unknown Project,10556.0,653.4090909090909,Kalyan West,0,Unfurnished,2.0,Unknown,Resale,Apartment,2,0,2,1.0,0.0,Unknown,0,0
0.42,418.0,Madhav Sansar,10048.0,303.47222222222223,Kalyan West,0,Unfurnished,1.0,South -West,Resale,Apartment,1,0,1,1.0,0.7142857142857143,Unknown,0,0
0.42,590.0,Unknown Project,7119.0,477.6190476190476,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Builder Floor Apartment,1,0,1,1.0,0.2,Available,0,0
0.4,680.0,Shankheshwar Platinum,5882.0,493.6868686868687,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,1,0,1,1.0,0.125,Unknown,0,0
0.8,880.0,Unknown Project,9091.0,638.8888888888889,Kalyan West,0,Unfurnished,2.0,Unknown,Resale,Apartment,2,0,2,1.0,1.0,Unknown,0,0
1.0,1250.0,Unknown Project,8000.0,907.5126262626262,Kalyan West,0,Semi-Furnished,2.0,East,Resale,Apartment,2,0,2,1.0,0.9333333333333333,Unknown,1,0
1.1,1190.0,Unknown Project,9244.0,863.9520202020202,Kalyan West,0,Furnished,3.0,Unknown,Resale,Apartment,3,0,3,2.0,1.0,Unknown,4,0
0.6,870.0,Unknown Project,6897.0,631.6287878787879,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,2,0,2,1.0,1.0,Unknown,0,0
0.55,650.0,Unknown Project,8461.0,526.1904761904761,Kalyan West,0,Semi-Furnished,1.0,East,Resale,Builder Floor Apartment,2,0,2,1.0,0.25,Unknown,0,0
0.82,595.0,Godrej Nirvaan,13782.0,431.9760101010101,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,2,0,2,2.0,0.14285714285714285,Unknown,1,0
0.26,490.0,Unknown Project,5306.0,355.7449494949495,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,0,1,1.0,0.4,Unknown,0,0
0.72,985.0,Unknown Project,7309.0,715.1199494949495,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,2,0,2,2.0,0.14285714285714285,Unknown,1,0
0.85,1130.0,Unknown Project,7522.0,820.3914141414141,Kalyan West,0,Furnished,2.0,Unknown,Resale,Apartment,2,1,2,2.0,0.625,Available,3,2
0.73,1000.0,Unknown Project,7300.0,640.0,Kalyan West,0,Furnished,2.0,North,Resale,Apartment,2,1,2,1.0,0.25,Available,2,2
1.1,700.0,Unknown Project,15714.0,508.2070707070707,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,2,1,2,1.0,0.5714285714285714,Unknown,1,2
1.5,1600.0,Unknown Project,9375.0,1312.4513281993598,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Residential House,2,1,2,1.0,0.3076923076923077,Unknown,2,6
0.56,695.0,Yogi Dham Phase III,8058.0,504.5770202020202,Kalyan West,0,Furnished,2.0,Unknown,Resale,Apartment,1,1,1,1.0,0.8181818181818182,Unknown,1,2
0.72,1010.0,Unknown Project,7129.0,733.2702020202021,Kalyan West,0,Unfurnished,2.0,Unknown,Resale,Apartment,2,1,2,3.0,0.25,Unknown,3,2
0.4,490.0,Unknown Project,8163.0,355.7449494949495,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,1,1,1,1.0,0.6,Unknown,1,2
0.37,577.0,Raunak City 2,6412.0,418.9078282828283,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,1,1,1,2.0,1.0,Unknown,2,2
0.35,580.0,Raunak City 3,6034.0,421.0858585858586,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,1,1,1,2.0,0.5714285714285714,Unknown,2,2
0.44,710.0,Unknown Project,6127.0,506.0,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,1,1,3.0,1.0,Unknown,2,2
0.24,550.0,Vrundavan,4364.0,385.0,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,0,1,2.0,1.0,Unknown,1,0
0.4,640.0,Krishna Regency,6250.0,475.0,Kalyan West,0,Semi-Furnished,1.0,South - East,Resale,Apartment,1,0,1,1.0,0.75,Unknown,0,0
0.63,700.0,Unknown Project,9000.0,508.2070707070707,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,2,0,2,1.0,1.0,Unknown,0,0
0.75,990.0,Charms Heritage,7576.0,718.75,Kalyan West,0,Semi-Furnished,2.0,Unknown,Resale,Apartment,2,0,2,2.0,0.9230769230769231,Available,1,0
0.33,500.0,Vidhi Complex,6600.0,363.0050505050505,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,1,0,1,1.0,0.75,Available,0,0
0.68,634.98,Godrej Nirvaan,10708.998708620746,461.0,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,0,1,1.0,0.13636363636363635,Unknown,0,0
0.55,927.0,Tata Amantra,5933.0,673.0113636363636,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,2,0,2,2.0,0.24242424242424243,Unknown,1,0
0.55,600.0,Rosalie,9167.0,435.6060606060606,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,0,1,1.0,0.2857142857142857,Available,0,0
0.27,430.0,Vrundavan,6279.0,312.1843434343434,Kalyan West,0,Unfurnished,1.0,East,Resale,Apartment,1,0,1,2.0,0.0,Unknown,1,0
0.45,855.0,Haware Pinnacle,5263.0,620.7386363636364,Kalyan West,0,Furnished,2.0,West,Resale,Apartment,2,0,2,2.0,0.3333333333333333,Unknown,1,0
0.45,645.0,Royce Paradise,6977.0,468.2765151515151,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,0,1,1.0,0.125,Unknown,0,0
0.75,929.74,Godrej Nirvaan,8066.771355432702,675.0,Bhoiwada,0,Unfurnished,2.0,Unknown,Resale,Apartment,2,0,2,2.0,0.22727272727272727,Available,1,0
0.38,607.0,Raunak City 2,6260.0,440.6881313131313,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,0,1,2.0,0.6,Unknown,1,0
0.65,950.0,Niraj City Phase 2,6842.0,689.709595959596,Kalyan West,0,Unfurnished,2.0,Unknown,Resale,Apartment,2,0,2,2.0,0.375,Available,1,0
0.27,603.0,Haware Pinnacle,4478.0,437.78409090909093,Kalyan West,0,Unfurnished,1.0,East,New Property,Apartment,1,0,1,1.0,0.25,Unknown,0,0
0.65,1080.0,Unknown Project,6018.0,784.0909090909091,Kalyan West,0,Furnished,2.0,East,Resale,Apartment,2,1,2,1.0,0.6206896551724138,Unknown,2,2
0.34,580.0,Raunak City 2,5862.0,421.0858585858586,Kalyan West,0,Unfurnished,1.0,North - East,Resale,Apartment,1,0,1,1.0,0.8571428571428571,Unknown,0,0
0.69,950.0,Sai Sharnam,7263.0,650.0,Kalyan West,0,Semi-Furnished,2.0,East,Resale,Apartment,2,1,2,3.0,0.4,Unknown,2,2
0.63,927.0,Tata Amantra,6796.0,673.0113636363636,Kalyan West,0,Unfurnished,1.0,North - East,Resale,Apartment,2,1,2,1.0,0.1111111111111111,Unknown,1,2
0.2,590.9,Haware Pinnacle,3384.6674564224068,429.0,Kalyan West,0,Unfurnished,1.0,North,Resale,Apartment,1,1,1,1.0,1.0,Unknown,1,2
1.3,1475.0,Unknown Project,8813.0,885.0,Kalyan West,0,Semi-Furnished,3.0,East,Resale,Apartment,3,1,3,2.0,0.6521739130434783,Available,5,2
0.29,585.0,Unknown Project,4877.0,383.0,Kalyan West,1,Unfurnished,1.0,Unknown,New Property,Apartment,1,1,1,1.0,0.5714285714285714,Unknown,1,2
0.34,550.0,Raunak City 2,6273.0,420.0,Kalyan West,0,Unfurnished,2.0,East,Resale,Apartment,1,1,1,2.0,0.3333333333333333,Unknown,2,2
0.35,520.0,Mahindra Happinest Kalyan,6731.0,400.0,Kalyan West,0,Furnished,1.0,South - East,Resale,Apartment,1,1,1,1.0,0.35714285714285715,Available,1,2
2.0,1115.0,Royal Residency,17937.0,809.5012626262626,Kalyan West,0,Semi-Furnished,3.0,Unknown,Resale,Apartment,4,1,4,4.0,0.75,Available,6,4
0.75,1017.0,Tata Amantra,7375.0,738.3522727272727,Kalyan West,0,Unfurnished,2.0,Unknown,Resale,Apartment,2,1,2,1.0,0.6,Unknown,2,2
0.5,750.0,Unknown Project,6667.0,544.5075757575758,Kalyan West,0,Furnished,2.0,East,Resale,Apartment,2,1,2,1.0,0.0,Available,1,2
0.65,850.0,Unknown Project,7647.0,617.1085858585859,Kalyan West,0,Semi-Furnished,2.0,West,Resale,Apartment,2,1,2,1.0,0.75,Unknown,1,2
0.4,600.0,Raunak City 3,6667.0,480.0,Kalyan West,1,Semi-Furnished,1.0,East,New Property,Apartment,1,1,1,2.0,0.8571428571428571,Unknown,2,2
0.48,663.0,Unknown Project,7240.0,450.0,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,1,1,2.0,1.0,Unknown,2,2
0.47,750.0,Seasons Avenue Kalyan,6267.0,694.0,Kalyan West,0,Semi-Furnished,1.0,North - West,Resale,Apartment,1,0,1,2.0,1.0,Unknown,1,0
0.36,608.0,Haware Pinnacle,5921.0,466.0,Kalyan West,0,Unfurnished,1.0,West,Resale,Apartment,1,1,1,1.0,1.0,Unknown,1,2
0.6,1175.0,Mahavir Heights,5106.0,1000.0,Kalyan West,0,Unfurnished,2.0,Unknown,Resale,Apartment,2,1,2,2.0,0.2,Unknown,3,2
1.25,1240.0,Unknown Project,10081.0,900.2525252525253,Rambaug Lane Number 4,0,Furnished,4.0,East,Resale,Apartment,3,1,3,4.0,0.7142857142857143,Available,5,3
0.55,690.0,Kohinoor Majestic,7970.0,491.0,Kalyan West,0,Unfurnished,2.0,East,Resale,Apartment,1,1,1,2.0,1.0,Available,2,2
0.5,851.0,Haware Pinnacle,5875.0,548.0,Kalyan West,0,Semi-Furnished,2.0,East,Resale,Apartment,2,1,2,3.0,0.1111111111111111,Available,2,2
0.52,960.0,Aashapura Crown City,5417.0,648.0,Kalyan West,0,Unfurnished,2.0,East,Resale,Apartment,2,1,2,2.0,0.8571428571428571,Unknown,2,2
1.35,1300.0,Tycoons Residency,10385.0,1063.0,Kalyan West,0,Semi-Furnished,2.0,North - East,Resale,Apartment,3,1,3,1.0,0.14285714285714285,Unknown,3,2
0.85,1000.0,Unknown Project,8500.0,650.0,Kalyan West,0,Unfurnished,2.0,Unknown,Resale,Apartment,2,1,2,2.0,0.2857142857142857,Unknown,3,2
0.6,1200.0,Bajaj Prakriti Angan,5000.0,700.0,Kalyan West,0,Semi-Furnished,2.0,North - West,Resale,Apartment,2,1,2,1.0,0.16666666666666666,Available,2,2
0.78,985.0,Rutu Riverside Estate,7918.0,638.0,Kalyan West,0,Furnished,2.0,East,Resale,Builder Floor Apartment,2,1,2,3.0,0.2,Available,2,2
0.55,927.0,Tata Amantra,5933.0,612.0,Kalyan West,0,Unfurnished,1.0,North - East,Resale,Apartment,2,1,2,1.0,0.5416666666666666,Unknown,1,2
0.35,650.0,Kalyan Nagari,5384.0,450.0,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,1,1,1,3.0,0.3333333333333333,Available,2,2
0.39,650.0,Tycoons Square,6000.0,450.0,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,1,1,1,3.0,0.43478260869565216,Available,2,2
0.37,650.0,Unknown Project,5651.0,408.0,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,1,1,1,1.0,0.7307692307692307,Available,1,2
0.88,875.0,Godrej Nirvaan,10080.0,675.0,Kalyan West,1,Semi-Furnished,2.0,East,New Property,Apartment,2,1,2,2.0,0.34615384615384615,Unknown,2,2
0.46,674.0,Tycoons Goldmine Avenue 1,6778.0,421.0,Kalyan West,1,Unfurnished,2.0,North - East,New Property,Apartment,1,1,1,1.0,0.7714285714285715,Available,1,2
0.38,630.0,Raunak City Sector 4,5952.0,405.0,Kalyan West,1,Semi-Furnished,1.0,East,New Property,Apartment,1,1,1,3.0,0.6666666666666666,Available,2,2
0.58,970.0,Unknown Project,5979.0,670.0,Kalyan West,0,Semi-Furnished,2.0,East,Resale,Apartment,2,1,2,2.0,0.5555555555555556,Available,2,2
0.46,600.0,Unknown Project,7666.0,425.0,Kalyan West,1,Semi-Furnished,1.0,East,New Property,Apartment,1,1,1,2.0,0.2857142857142857,Available,2,2
0.52,803.0,Godrej Riviera,6536.0,502.0,Kalyan West,1,Unfurnished,2.0,North - East,New Property,Apartment,2,1,2,1.0,0.6818181818181818,Available,1,2
0.44,550.0,Godrej Nirvaan,9631.0,367.0,Kalyan West,1,Unfurnished,2.0,North,New Property,Apartment,1,1,1,1.0,0.3870967741935484,Available,1,2
0.32,550.0,Unknown Project,5800.0,370.0,Kalyan West,1,Furnished,2.0,East,New Property,Apartment,1,1,1,3.0,0.3333333333333333,Unknown,2,2
0.36,727.0,Unknown Project,5020.0,423.0,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,1,1,1,3.0,0.47058823529411764,Available,2,2
0.43,650.0,Vasant Park,6615.0,471.90656565656565,Kalyan West,0,Unfurnished,1.0,Unknown,Resale,Apartment,1,1,1,1.0,1.0,Unknown,1,2
0.4,850.0,Unknown Project,4694.0,570.0,Kalyan West,1,Semi-Furnished,2.0,East,New Property,Apartment,2,1,2,3.0,0.3333333333333333,Available,2,2
0.4,675.0,Regency Paradise,5926.0,490.0568181818182,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,1,1,1,1.0,0.2857142857142857,Unknown,1,2
0.22,595.0,Unknown Project,3675.0,450.0,Kalyan West,1,Unfurnished,1.0,North - East,New Property,Apartment,1,1,1,1.0,0.6666666666666666,Available,1,2
0.7,890.0,Guru Atman,7865.0,585.0,Kalyan West,0,Furnished,2.0,North - East,Resale,Apartment,2,1,2,3.0,0.5,Available,2,2
0.6,730.02,Unknown Project,9523.0,530.0,Kalyan West,0,Unfurnished,1.0,North - East,Resale,Apartment,1,1,1,1.0,0.0,Available,1,2
0.85,1050.0,Godrej Nirvaan,8095.0,675.0,Bhoiwada,1,Unfurnished,2.0,East,New Property,Apartment,2,1,2,2.0,0.8387096774193549,Available,3,2
0.49,627.0,Saisatyam Residency,7814.0,483.0,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,1,1,1,2.0,0.5,Available,2,2
0.38,540.0,Unknown Project,7037.0,470.0,Kalyan West,0,Semi-Furnished,1.0,Unknown,Resale,Apartment,1,1,1,1.0,0.8,Unknown,1,2
0.56,619.83,Triveni Dynamic Ultima,9034.735330655181,450.0,Kalyan West,0,Semi-Furnished,2.0,North - East,Resale,Apartment,1,1,1,2.0,0.7727272727272727,Available,2,2
