bhk,price,which_floor,bathrooms,balcony,parking,location,buildup_area_sqft,is_ready_to_move,furnishing,age_category,latitude,longitude
3.0,4.5,Lower,3.0,0.0,2.0,Borivali East,1350.0,0,Semi Furnished,Relatively New,19.2187187,72.8654856
1.0,0.3,Middle,1.0,2.0,1.0,Naigaon East,610.0,1,Semi Furnished,Mid Age,19.0137704,72.846317
2.0,2.2,Lower,2.0,0.0,1.0,Kandivali East,900.0,1,Semi Furnished,Relatively New,19.2051958,72.8626165
3.0,2.1,Middle,3.0,0.0,1.0,Malad West,1300.0,1,Unknown,Mid Age,19.1852851,72.8358611
3.0,4.2,Lower,2.0,2.0,1.0,Jogeshwari East,980.0,1,Semi Furnished,Mid Age,19.1429467,72.8551559
3.0,4.5,Lower,2.0,1.0,2.0,Andheri West,1300.0,1,Unfurnished,Mid Age,19.1172495,72.833968
2.0,3.0,Middle,2.0,0.0,1.0,Andheri West,920.0,1,Semi Furnished,Old,19.1172495,72.833968
2.0,2.5,Higher,2.0,0.0,1.0,Powai,1070.0,1,Semi Furnished,Relatively New,19.1187195,72.9073476
1.0,1.0,Lower,1.0,0.0,1.0,Kandivali East,525.0,1,Semi Furnished,Old,19.2051958,72.8626165
2.0,1.9,Higher,2.0,1.0,1.0,Mulund West,693.0,1,Semi Furnished,Relatively New,19.1719717,72.9511956
3.0,3.5,Middle,3.0,0.0,2.0,Govandi,1250.0,1,Fully Furnished,Mid Age,19.0553688,72.9150702
2.0,1.55,Lower,2.0,0.0,1.0,Mulund West,765.0,1,Semi Furnished,New,19.1719717,72.9511956
1.0,0.73,Middle,2.0,0.0,1.0,Mira Road East,480.0,1,Unfurnished,Relatively New,19.286025,72.868886
2.0,4.5,Middle,2.0,0.0,2.0,Santacruz West,1000.0,1,Unfurnished,Mid Age,19.0844004,72.8372899
2.0,1.95,Higher,2.0,0.0,1.0,Kanjurmarg East,1000.0,1,Semi Furnished,New,19.124102,72.9385562
3.0,2.38,Lower,3.0,0.0,1.0,Malad West,1280.0,1,Unfurnished,Mid Age,19.1852851,72.8358611
2.0,1.85,Middle,2.0,0.0,0.0,Andheri West,800.0,1,Unknown,Mid Age,19.1172495,72.833968
2.0,3.9,Middle,2.0,0.0,1.0,Juhu,918.0,1,Semi Furnished,Mid Age,19.1070215,72.8275275
3.0,2.5,Middle,3.0,0.0,1.0,Kandivali East,1000.0,1,Semi Furnished,Old,19.2051958,72.8626165
2.0,3.65,Middle,2.0,2.0,1.0,Vile Parle East,686.0,1,Semi Furnished,New,19.1097455,72.8365427
1.0,0.92,Unknown,2.0,0.0,0.0,Dahisar East,675.0,0,Unknown,Relatively New,19.2599822,72.8598732
2.0,5.33,Unknown,2.0,0.0,1.0,Dadar West,900.0,1,Unknown,Relatively New,19.0238887,72.8382236
3.0,0.75,Higher,2.0,3.0,1.0,Virar West,1400.0,1,Semi Furnished,Relatively New,19.455,72.811
1.0,1.43,Unknown,2.0,0.0,1.0,Wadala East,600.0,1,Unknown,Relatively New,19.0210175,72.8568955
2.0,1.4,Lower,2.0,0.0,1.0,Kandivali East,800.0,1,Fully Furnished,Mid Age,19.2051958,72.8626165
3.0,3.35,Higher,3.0,1.0,1.0,Kandivali East,1680.0,1,Semi Furnished,Old,19.2051958,72.8626165
1.0,0.95,Lower,2.0,0.0,1.0,Kandivali West,750.0,1,Unfurnished,Relatively New,19.2055321,72.8399273
2.0,1.71,Middle,2.0,0.0,1.0,Borivali West,1100.0,1,Unfurnished,New,19.2298129,72.8471376
2.0,1.95,Middle,2.0,0.0,1.0,Kandivali East,1010.0,1,Semi Furnished,Mid Age,19.2051958,72.8626165
2.0,2.51,Middle,2.0,0.0,1.0,Andheri East,925.0,1,Semi Furnished,Mid Age,19.1158835,72.854202
3.0,3.47,Higher,3.0,0.0,1.0,Borivali West,1250.0,1,Semi Furnished,Mid Age,19.2298129,72.8471376
2.0,3.25,Middle,2.0,0.0,1.0,Prabhadevi,900.0,1,Semi Furnished,Old,19.0074717,72.8358965
3.0,2.5,Lower,2.0,0.0,2.0,Mulund West,1350.0,1,Semi Furnished,New,19.1719717,72.9511956
2.0,3.9,Higher,2.0,1.0,2.0,Sion,1218.0,1,Fully Furnished,Relatively New,19.0465213,72.8632834
6.0,14.0,Unknown,2.0,0.0,4.0,Andheri West,2700.0,0,Unknown,Mid Age,19.1172495,72.833968
1.0,1.6,Unknown,2.0,0.0,1.0,Mulund West,600.0,1,Unknown,Relatively New,19.1719717,72.9511956
1.0,0.71,Lower,2.0,2.0,1.0,Mira Road East,760.0,1,Fully Furnished,Relatively New,19.286025,72.868886
1.0,0.77,Middle,1.0,0.0,1.0,Vikhroli East,520.0,1,Unknown,New,19.1172592,72.9355194
1.0,0.85,Middle,2.0,0.0,1.0,Kurla East,589.0,1,Semi Furnished,Relatively New,19.0628944,72.8825604
3.0,4.99,Higher,1.0,0.0,2.0,Dadar West,1250.0,1,Unfurnished,Relatively New,19.0238887,72.8382236
1.0,0.55,Middle,1.0,0.0,2.0,Goregaon East,610.0,1,Fully Furnished,Mid Age,19.1692623,72.8552548
3.0,4.96,Middle,3.0,0.0,2.0,Borivali East,1550.0,1,Unfurnished,New,19.2187187,72.8654856
2.0,1.6,Lower,2.0,1.0,1.0,Kanjurmarg West,700.0,1,Semi Furnished,Mid Age,19.1321171,72.9273332
3.0,2.9,Higher,3.0,2.0,2.0,Mulund East,1300.0,1,Unfurnished,New,19.1704719,72.9610447
1.0,0.38,Middle,2.0,2.0,2.0,Naigaon East,693.0,0,Unknown,Relatively New,19.0137704,72.846317
1.0,1.7,Lower,1.0,1.0,1.0,Sion,600.0,1,Unfurnished,Relatively New,19.0465213,72.8632834
3.0,3.82,Unknown,3.0,0.0,2.0,Chembur East,1400.0,1,Unknown,Relatively New,19.0740472,72.8506755
3.0,3.3,Lower,2.0,1.0,1.0,Powai,1502.0,1,Semi Furnished,Mid Age,19.1187195,72.9073476
4.0,4.15,Lower,3.0,1.0,1.0,Mulund West,1980.0,1,Fully Furnished,Mid Age,19.1719717,72.9511956
4.0,6.5,Higher,4.0,0.0,2.0,Juhu,1500.0,1,Unknown,Old,19.1070215,72.8275275
3.0,5.6,Higher,3.0,1.0,2.0,Parel,1750.0,1,Semi Furnished,Relatively New,18.9883872,72.8394086
4.0,7.2,Lower,4.0,4.0,2.0,Sion,2670.0,1,Semi Furnished,New,19.0465213,72.8632834
1.0,0.65,Lower,2.0,0.0,0.0,Mira Road East,540.0,1,Semi Furnished,New,19.286025,72.868886
2.0,5.0,Lower,2.0,0.0,1.0,Bandra West,1000.0,1,Semi Furnished,Relatively New,19.0583358,72.8302669
1.0,1.05,Middle,2.0,0.0,0.0,Chembur,405.0,1,Unfurnished,Relatively New,19.054818,72.8979713
2.0,1.48,Lower,2.0,0.0,1.0,Malad West,1020.0,1,Unfurnished,Relatively New,19.1852851,72.8358611
2.0,2.7,Middle,2.0,0.0,1.0,Powai,987.0,1,Semi Furnished,Relatively New,19.1187195,72.9073476
2.0,1.48,Unknown,2.0,0.0,1.0,Vikhroli East,900.0,1,Unknown,Relatively New,19.1172592,72.9355194
2.0,2.2,Middle,2.0,0.0,1.0,Malad West,850.0,1,Semi Furnished,Mid Age,19.1852851,72.8358611
4.0,5.8,Middle,3.0,1.0,2.0,Madh,1880.0,1,Fully Furnished,Mid Age,19.1375285,72.7918857
2.0,2.25,Lower,2.0,0.0,1.0,Chembur,876.0,1,Semi Furnished,Relatively New,19.054818,72.8979713
1.0,1.14,Unknown,2.0,0.0,1.0,Chembur East,600.0,1,Unknown,Relatively New,19.0740472,72.8506755
2.0,2.25,Higher,2.0,0.0,1.0,Andheri East,825.0,0,Unfurnished,Relatively New,19.1158835,72.854202
3.0,3.35,Lower,3.0,1.0,1.0,Goregaon West,1150.0,1,Semi Furnished,New,19.1633281,72.8411995
2.0,1.6,Lower,2.0,0.0,0.0,Andheri West,670.0,1,Unfurnished,Mid Age,19.1172495,72.833968
4.0,5.9,Higher,3.0,0.0,3.0,Andheri West,1660.0,1,Unfurnished,Relatively New,19.1172495,72.833968
1.0,0.93,Middle,2.0,2.0,2.0,Mira Road East,751.0,1,Semi Furnished,New,19.286025,72.868886
1.0,0.33,Middle,1.0,0.0,1.0,Virar West,630.0,1,Semi Furnished,Relatively New,19.455,72.811
1.0,0.28,Lower,3.0,0.0,0.0,Naigaon East,510.0,1,Unknown,Relatively New,19.0137704,72.846317
1.0,1.4,Higher,2.0,0.0,1.0,Goregaon West,535.0,1,Unfurnished,New,19.1633281,72.8411995
1.0,0.96,Middle,1.0,0.0,0.0,Mulund West,530.0,1,Semi Furnished,Old,19.1719717,72.9511956
3.0,3.82,Higher,3.0,2.0,0.0,Malad West,1150.0,1,Semi Furnished,Mid Age,19.1852851,72.8358611
3.0,2.25,Lower,3.0,0.0,2.0,Dahisar West,1500.0,1,Unfurnished,New,19.248875,72.852959
1.0,2.21,Middle,2.0,0.0,1.0,Vile Parle East,545.0,1,Unfurnished,New,19.1097455,72.8365427
2.0,0.98,Middle,2.0,0.0,1.0,Kandivali East,609.0,1,Unfurnished,Relatively New,19.2051958,72.8626165
3.0,3.25,Middle,3.0,0.0,1.0,Govandi,1080.0,1,Unfurnished,Relatively New,19.0553688,72.9150702
1.0,0.3,Middle,1.0,2.0,1.0,Nalasopara West,595.0,1,Semi Furnished,Mid Age,19.012455,72.835058
1.0,1.2,Middle,1.0,0.0,1.0,Kurla East,725.0,1,Semi Furnished,New,19.0628944,72.8825604
2.0,1.6,Lower,2.0,0.0,1.0,Borivali West,750.0,1,Unknown,Old,19.2298129,72.8471376
1.0,0.28,Higher,2.0,2.0,1.0,Virar West,650.0,1,Semi Furnished,Relatively New,19.455,72.811
3.0,2.6,Middle,3.0,0.0,3.0,Kandivali West,1600.0,0,Semi Furnished,Relatively New,19.2055321,72.8399273
2.0,2.5,Unknown,2.0,0.0,1.0,Powai,740.0,0,Unknown,Mid Age,19.1187195,72.9073476
1.0,0.27,Middle,1.0,0.0,2.0,Nalasopara West,620.0,1,Unfurnished,Mid Age,19.012455,72.835058
1.0,0.82,Lower,2.0,2.0,1.0,Mira Road East,750.0,1,Semi Furnished,New,19.286025,72.868886
2.0,0.88,Unknown,2.0,3.0,1.0,Mira Road East,922.0,0,Unknown,Relatively New,19.286025,72.868886
2.0,1.77,Unknown,2.0,0.0,1.0,Mulund East,900.0,1,Unknown,Relatively New,19.1704719,72.9610447
4.0,4.23,Lower,4.0,1.0,1.0,Borivali East,1335.0,1,Unfurnished,New,19.2187187,72.8654856
3.0,5.0,Lower,2.0,0.0,1.0,Khar West,1200.0,1,Unfurnished,Mid Age,19.0698569,72.829799
3.0,7.74,Higher,3.0,1.0,2.0,Mahalakshmi,2300.0,1,Unfurnished,Mid Age,19.0980853,72.8265668
1.0,1.1,Middle,2.0,0.0,1.0,Kandivali West,550.0,1,Unfurnished,Mid Age,19.2055321,72.8399273
2.0,0.45,Middle,2.0,4.0,1.0,Virar West,950.0,1,Semi Furnished,Relatively New,19.455,72.811
3.0,2.58,Unknown,3.0,0.0,1.0,Dahisar East,1495.0,0,Unknown,Relatively New,19.2599822,72.8598732
3.0,4.1,Lower,1.0,0.0,1.0,Goregaon East,980.0,1,Semi Furnished,Mid Age,19.1692623,72.8552548
2.0,2.4,Middle,2.0,2.0,1.0,Powai,1250.0,1,Unfurnished,Mid Age,19.1187195,72.9073476
3.0,3.8,Middle,3.0,0.0,1.0,Chembur,1800.0,1,Semi Furnished,Mid Age,19.054818,72.8979713
2.0,1.7,Higher,2.0,0.0,1.0,Mulund West,825.0,1,Fully Furnished,Mid Age,19.1719717,72.9511956
1.0,0.75,Unknown,2.0,0.0,1.0,Vikhroli,600.0,1,Unknown,Relatively New,19.1114795,72.928021
4.0,9.0,Higher,5.0,3.0,2.0,Ghatkopar West,3547.0,1,Fully Furnished,Relatively New,19.0897439,72.9048035
1.0,0.28,Middle,2.0,0.0,1.0,Nalasopara West,610.0,1,Semi Furnished,Relatively New,19.012455,72.835058
2.0,1.6,Higher,2.0,0.0,1.0,Borivali West,1043.0,0,Unfurnished,Relatively New,19.2298129,72.8471376
3.0,3.05,Lower,3.0,0.0,2.0,Kanjurmarg West,1360.0,1,Fully Furnished,Relatively New,19.1321171,72.9273332
2.0,3.2,Higher,2.0,3.0,1.0,Sion,1050.0,1,Semi Furnished,Relatively New,19.0465213,72.8632834
3.0,6.7,Unknown,3.0,0.0,2.0,Mahim West,1400.0,1,Unknown,Relatively New,19.0390722,72.8501829
1.0,2.4,Lower,2.0,2.0,1.0,Dadar West,600.0,1,Semi Furnished,Mid Age,19.0238887,72.8382236
1.0,1.25,Middle,2.0,0.0,1.0,Jogeshwari West,652.0,1,Semi Furnished,New,19.136394,72.8373817
2.0,1.55,Middle,2.0,0.0,1.0,Chembur,890.0,1,Unfurnished,New,19.054818,72.8979713
1.0,1.15,Lower,1.0,0.0,2.0,Malad West,650.0,1,Semi Furnished,Relatively New,19.1852851,72.8358611
2.0,1.7,Higher,3.0,0.0,1.0,Jogeshwari West,1130.0,1,Semi Furnished,Mid Age,19.136394,72.8373817
2.0,1.83,Higher,1.0,0.0,1.0,Kanjurmarg West,1150.0,1,Semi Furnished,Relatively New,19.1321171,72.9273332
1.0,1.1,Higher,2.0,0.0,0.0,Kandivali West,850.0,1,Semi Furnished,Relatively New,19.2055321,72.8399273
2.0,1.54,Higher,1.0,0.0,1.0,Borivali West,1000.0,1,Semi Furnished,Mid Age,19.2298129,72.8471376
1.0,1.1,Higher,2.0,0.0,1.0,Malad West,500.0,1,Semi Furnished,Mid Age,19.1852851,72.8358611
2.0,0.69,Middle,2.0,3.0,2.0,Mira Road East,800.0,0,Semi Furnished,Relatively New,19.286025,72.868886
2.0,2.1,Lower,2.0,1.0,2.0,Powai,1050.0,1,Unknown,Mid Age,19.1187195,72.9073476
3.0,7.5,Lower,2.0,0.0,2.0,Dadar West,1320.0,1,Fully Furnished,Relatively New,19.0238887,72.8382236
2.0,0.51,Middle,1.0,3.0,1.0,Nalasopara West,1100.0,1,Semi Furnished,Relatively New,19.012455,72.835058
3.0,4.75,Middle,2.0,0.0,1.0,Bandra West,1200.0,1,Unfurnished,Mid Age,19.0583358,72.8302669
2.0,0.8,Higher,2.0,0.0,1.0,Goregaon East,764.0,1,Unfurnished,Mid Age,19.1692623,72.8552548
2.0,2.2,Middle,2.0,0.0,1.0,Mulund West,1050.0,1,Fully Furnished,Relatively New,19.1719717,72.9511956
2.0,2.0,Higher,3.0,0.0,1.0,Andheri West,1000.0,1,Unfurnished,Mid Age,19.1172495,72.833968
1.0,1.38,Unknown,2.0,0.0,1.0,Kandivali East,448.0,0,Unknown,Mid Age,19.2051958,72.8626165
2.0,2.77,Lower,2.0,0.0,1.0,Powai,800.0,1,Semi Furnished,Relatively New,19.1187195,72.9073476
3.0,5.26,Lower,3.0,1.0,0.0,Andheri West,1650.0,1,Semi Furnished,Mid Age,19.1172495,72.833968
4.0,4.48,Higher,4.0,0.0,3.0,Mulund West,2320.0,1,Unfurnished,Relatively New,19.1719717,72.9511956
3.0,2.7,Middle,3.0,0.0,1.0,Chembur,1149.0,1,Semi Furnished,New,19.054818,72.8979713
2.0,2.55,Unknown,2.0,0.0,1.0,Mulund East,900.0,1,Unknown,Relatively New,19.1704719,72.9610447
3.0,5.75,Higher,3.0,0.0,2.0,Andheri West,1050.0,1,Fully Furnished,New,19.1172495,72.833968
2.0,3.15,Higher,2.0,0.0,1.0,Santacruz East,950.0,1,Unfurnished,New,19.0781806,72.8677752
3.0,2.7,Higher,3.0,3.0,1.0,Dahisar West,1250.0,1,Semi Furnished,Mid Age,19.248875,72.852959
1.0,0.85,Higher,1.0,1.0,2.0,Goregaon East,545.0,1,Unfurnished,Mid Age,19.1692623,72.8552548
3.0,2.5,Lower,3.0,0.0,2.0,Dahisar East,1177.0,1,Semi Furnished,Relatively New,19.2599822,72.8598732
4.0,14.0,Higher,3.0,0.0,5.0,Bandra West,3800.0,1,Semi Furnished,Mid Age,19.0583358,72.8302669
3.0,7.5,Middle,3.0,0.0,2.0,Khar West,1520.0,1,Unknown,New,19.0698569,72.829799
2.0,3.65,Unknown,2.0,0.0,1.0,Byculla,900.0,1,Unknown,Relatively New,18.9766219,72.8327936
3.0,6.0,Middle,3.0,0.0,2.0,Matunga East,1680.0,1,Unknown,Relatively New,19.0261579,72.8520846
2.0,1.05,Lower,2.0,3.0,1.0,Mira Road East,900.0,1,Semi Furnished,Relatively New,19.286025,72.868886
3.0,4.4,Lower,3.0,0.0,1.0,Borivali East,1478.0,1,Semi Furnished,New,19.2187187,72.8654856
3.0,2.9,Lower,3.0,0.0,2.0,Malad West,1250.0,1,Unfurnished,New,19.1852851,72.8358611
3.0,3.25,Higher,3.0,0.0,2.0,Kanjurmarg East,1600.0,1,Unknown,Relatively New,19.124102,72.9385562
1.0,0.32,Higher,1.0,2.0,1.0,Naigaon East,605.0,1,Unknown,Mid Age,19.0137704,72.846317
2.0,2.32,Middle,2.0,1.0,1.0,Malad West,1050.0,1,Semi Furnished,Relatively New,19.1852851,72.8358611
1.0,0.85,Lower,2.0,2.0,1.0,Jogeshwari West,635.0,1,Unfurnished,Mid Age,19.136394,72.8373817
3.0,2.09,Middle,3.0,0.0,1.0,Mulund West,1100.0,1,Unfurnished,Relatively New,19.1719717,72.9511956
2.0,1.8,Lower,2.0,0.0,1.0,Chembur,650.0,1,Fully Furnished,New,19.054818,72.8979713
2.0,1.69,Middle,2.0,0.0,1.0,Chembur,928.0,1,Semi Furnished,New,19.054818,72.8979713
1.0,1.25,Middle,2.0,1.0,1.0,Andheri East,600.0,1,Unknown,Old,19.1158835,72.854202
1.0,0.99,Lower,2.0,0.0,1.0,Malad West,750.0,1,Semi Furnished,Relatively New,19.1852851,72.8358611
3.0,2.9,Lower,3.0,0.0,2.0,Chembur,1152.0,1,Semi Furnished,Relatively New,19.054818,72.8979713
1.0,0.84,Middle,2.0,1.0,1.0,Bhandup West,655.0,1,Semi Furnished,Relatively New,19.1462636,72.9339461
3.0,7.35,Middle,3.0,1.0,1.0,Juhu,1900.0,1,Semi Furnished,New,19.1070215,72.8275275
3.0,4.5,Middle,3.0,0.0,2.0,Goregaon West,2200.0,1,Semi Furnished,Mid Age,19.1633281,72.8411995
2.0,1.05,Lower,2.0,2.0,2.0,Mira Road East,950.0,1,Semi Furnished,Mid Age,19.286025,72.868886
3.0,5.05,Lower,3.0,4.0,2.0,Sion,1700.0,1,Semi Furnished,Relatively New,19.0465213,72.8632834
3.0,2.88,Middle,3.0,1.0,2.0,Kanjurmarg West,1375.0,1,Semi Furnished,New,19.1321171,72.9273332
2.0,6.75,Middle,1.0,0.0,1.0,Cuffe Parade,1265.0,1,Semi Furnished,Old,18.9129204,72.8201377
2.0,3.68,Unknown,2.0,0.0,1.0,Andheri West,900.0,1,Unknown,Relatively New,19.1172495,72.833968
2.0,2.95,Higher,2.0,0.0,1.0,Andheri East,920.0,1,Semi Furnished,Old,19.1158835,72.854202
0.5,0.33,Middle,2.0,0.0,0.0,Malad West,300.0,1,Unfurnished,Mid Age,19.1852851,72.8358611
3.0,5.5,Higher,3.0,0.0,1.0,Andheri West,1800.0,1,Semi Furnished,Mid Age,19.1172495,72.833968
2.0,0.95,Lower,2.0,3.0,0.0,Mira Road East,810.0,1,Semi Furnished,New,19.286025,72.868886
3.0,5.5,Lower,1.0,0.0,1.0,Khar West,1450.0,1,Semi Furnished,Mid Age,19.0698569,72.829799
2.0,6.0,Higher,2.0,0.0,1.0,Juhu,1200.0,1,Unfurnished,Old,19.1070215,72.8275275
1.0,0.86,Middle,2.0,0.0,0.0,Mulund West,560.0,1,Unknown,Mid Age,19.1719717,72.9511956
1.0,0.33,Middle,1.0,2.0,1.0,Nalasopara West,625.0,0,Semi Furnished,Relatively New,19.012455,72.835058
3.0,2.35,Higher,3.0,0.0,1.0,Dahisar West,1100.0,1,Fully Furnished,Relatively New,19.248875,72.852959
1.0,0.69,Middle,3.0,0.0,1.0,Mira Road East,650.0,1,Unfurnished,Mid Age,19.286025,72.868886
2.0,1.7,Lower,2.0,0.0,1.0,Andheri East,1000.0,1,Unfurnished,Mid Age,19.1158835,72.854202
2.0,2.25,Middle,2.0,0.0,1.0,Kandivali East,765.0,1,Fully Furnished,Old,19.2051958,72.8626165
2.0,1.05,Higher,1.0,0.0,2.0,Chembur,650.0,1,Unfurnished,Old,19.054818,72.8979713
4.0,13.65,Unknown,4.0,0.0,2.0,Worli,2200.0,1,Unknown,Relatively New,18.9988405,72.8170327
3.0,1.92,Lower,3.0,0.0,1.0,Malad West,1050.0,1,Unfurnished,Mid Age,19.1852851,72.8358611
3.0,2.55,Lower,2.0,0.0,0.0,Bhandup West,1200.0,1,Unfurnished,Relatively New,19.1462636,72.9339461
1.0,0.65,Lower,2.0,0.0,1.0,Bhayandar East,675.0,1,Semi Furnished,Mid Age,19.3076,72.862
2.0,2.37,Unknown,2.0,0.0,1.0,Malad East,900.0,1,Unknown,Relatively New,19.1860219,72.8563181
1.0,0.33,Unknown,2.0,0.0,1.0,Naigaon East,590.0,0,Unknown,Relatively New,19.0137704,72.846317
3.0,3.56,Middle,2.0,0.0,2.0,Chembur,1280.0,1,Semi Furnished,Relatively New,19.054818,72.8979713
3.0,2.3,Lower,2.0,0.0,1.0,Andheri West,866.0,1,Unfurnished,Relatively New,19.1172495,72.833968
2.0,0.96,Unknown,2.0,3.0,1.0,Mira Road East,950.0,0,Unknown,Relatively New,19.286025,72.868886
1.0,0.67,Middle,2.0,3.0,1.0,Mira Road East,695.0,1,Unfurnished,Relatively New,19.286025,72.868886
